Setpoint,PID_Output,Planta_Output
44.00,-55.43,25.00
44.00,-55.43,24.38
44.00,-55.43,23.75
44.00,-55.43,23.75
44.00,25.16,23.75
44.00,25.16,23.75
44.00,25.16,24.04
44.00,25.16,24.04
44.00,20.89,24.04
44.00,20.89,24.27
44.00,20.89,24.27
44.00,20.89,24.27
44.00,21.39,24.27
44.00,21.39,24.51
44.00,21.39,24.51
44.00,21.39,24.51
44.00,21.72,24.51
44.00,21.72,24.76
44.00,21.72,24.76
44.00,21.72,24.76
44.00,22.04,24.76
44.00,22.04,25.01
44.00,22.04,25.01
44.00,22.04,25.01
44.00,22.35,25.01
44.00,22.35,25.26
44.00,22.35,25.26
44.00,22.35,25.26
44.00,22.65,25.26
44.00,22.65,25.51
44.00,22.65,25.51
44.00,22.65,25.51
44.00,21.92,25.77
44.00,21.92,25.77
44.00,21.92,25.77
44.00,21.92,25.77
44.00,23.00,26.01
44.00,23.00,26.01
44.00,23.00,26.01
44.00,23.00,26.01
44.00,23.24,26.27
44.00,23.24,26.27
44.00,23.24,26.27
44.00,23.24,26.27
44.00,23.49,26.53
44.00,23.49,26.53
44.00,23.49,26.53
44.00,23.49,26.53
44.00,23.74,26.79
44.00,23.74,26.79
44.00,23.74,26.79
44.00,23.74,26.79
44.00,23.97,27.06
44.00,23.97,27.06
44.00,23.97,27.06
44.00,23.97,27.33
44.00,24.20,27.33
44.00,24.20,27.33
44.00,24.20,27.33
44.00,24.20,27.60
44.00,24.41,27.60
44.00,24.41,27.60
44.00,24.41,27.60
44.00,24.41,27.87
44.00,24.62,27.87
44.00,24.62,27.87
44.00,24.62,27.87
44.00,24.62,28.15
44.00,24.81,28.15
44.00,24.81,28.15
44.00,24.81,28.15
44.00,24.81,28.42
44.00,24.99,28.42
44.00,24.99,28.42
44.00,24.99,28.42
44.00,24.99,28.70
44.00,25.17,28.70
44.00,25.17,28.70
44.00,25.17,28.98
44.00,25.17,28.98
44.00,25.33,28.98
44.00,25.33,28.98
44.00,25.33,29.27
44.00,25.33,29.27
44.00,25.49,29.27
44.00,25.49,29.27
44.00,25.49,29.55
44.00,25.49,29.55
44.00,25.63,29.55
44.00,25.63,29.55
44.00,25.63,29.84
44.00,25.63,29.84
44.00,25.77,29.84
44.00,25.77,29.84
44.00,25.77,30.12
44.00,25.77,30.12
44.00,25.89,30.12
44.00,25.89,30.12
44.00,25.89,30.41
44.00,25.89,30.41
44.00,26.01,30.41
44.00,26.01,30.70
44.00,26.01,30.70
44.00,26.01,30.70
44.00,26.11,30.70
44.00,26.11,30.99
44.00,26.11,30.99
44.00,26.11,30.99
44.00,26.21,30.99
44.00,26.21,31.28
44.00,26.21,31.28
44.00,26.21,31.28
44.00,26.30,31.28
44.00,26.30,31.58
44.00,26.30,31.58
44.00,26.30,31.58
44.00,26.37,31.58
44.00,26.37,31.87
44.00,26.37,31.87
44.00,26.37,31.87
44.00,26.44,31.87
44.00,26.44,32.16
44.00,26.44,32.16
44.00,26.44,32.16
44.00,25.32,32.46
44.00,25.32,32.46
44.00,25.32,32.46
44.00,25.32,32.46
44.00,26.30,32.74
44.00,26.30,32.74
44.00,26.30,32.74
44.00,26.30,32.74
44.00,26.30,33.03
44.00,26.30,33.03
44.00,26.30,33.03
44.00,26.30,33.03
44.00,26.33,33.32
44.00,26.33,33.32
44.00,26.33,33.32
44.00,26.33,33.32
44.00,26.35,33.61
44.00,26.35,33.61
44.00,26.35,33.61
44.00,26.35,33.61
44.00,26.36,33.90
44.00,26.36,33.90
44.00,26.36,33.90
44.00,26.36,34.19
44.00,26.36,34.19
44.00,26.36,34.19
44.00,26.36,34.19
44.00,26.36,34.49
44.00,26.36,34.49
44.00,26.36,34.49
44.00,26.36,34.49
44.00,26.36,34.78
44.00,26.34,34.78
44.00,26.34,34.78
44.00,26.34,34.78
44.00,26.34,35.07
44.00,26.32,35.07
44.00,26.32,35.07
44.00,26.32,35.07
44.00,26.32,35.36
44.00,26.29,35.36
44.00,26.29,35.36
44.00,26.29,35.36
44.00,26.29,35.65
44.00,26.25,35.65
44.00,26.25,35.65
44.00,26.25,35.94
44.00,26.25,35.94
44.00,26.21,35.94
44.00,26.21,35.94
44.00,26.21,36.23
44.00,26.21,36.23
44.00,26.15,36.23
44.00,26.15,36.23
44.00,26.15,36.52
44.00,26.15,36.52
44.00,26.09,36.52
44.00,26.09,36.52
44.00,26.09,36.80
44.00,26.09,36.80
44.00,26.02,36.80
44.00,26.02,36.80
44.00,26.02,37.09
44.00,26.02,37.09
44.00,25.95,37.09
44.00,25.95,37.09
44.00,25.95,37.38
44.00,25.95,37.38
44.00,25.86,37.38
44.00,25.86,37.66
44.00,25.86,37.66
44.00,25.86,37.66
44.00,25.77,37.66
44.00,25.77,37.94
44.00,25.77,37.94
44.00,25.77,37.94
44.00,25.67,37.94
44.00,25.67,38.23
44.00,25.67,38.23
44.00,25.67,38.23
44.00,25.57,38.23
44.00,25.57,38.51
44.00,25.57,38.51
44.00,25.57,38.51
44.00,25.46,38.51
44.00,25.46,38.79
44.00,25.46,38.79
44.00,25.46,38.79
44.00,25.34,38.79
44.00,25.34,39.06
44.00,25.34,39.06
44.00,25.34,39.06
44.00,24.09,39.34
44.00,24.09,39.34
44.00,24.09,39.34
44.00,24.09,39.34
44.00,24.84,39.60
44.00,24.84,39.60
44.00,24.84,39.60
44.00,24.84,39.60
44.00,24.66,39.88
44.00,24.66,39.88
44.00,24.66,39.88
44.00,24.66,39.88
44.00,24.52,40.15
44.00,24.52,40.15
44.00,24.52,40.15
44.00,24.52,40.15
44.00,24.36,40.41
44.00,24.36,40.41
44.00,24.36,40.41
44.00,24.36,40.41
44.00,24.20,40.68
44.00,24.20,40.68
44.00,24.20,40.68
44.00,24.20,40.94
44.00,24.03,40.94
44.00,24.03,40.94
44.00,24.03,40.94
44.00,24.03,41.21
44.00,23.86,41.21
44.00,23.86,41.21
44.00,23.86,41.21
44.00,23.86,41.47
44.00,23.68,41.47
44.00,23.68,41.47
44.00,23.68,41.47
44.00,23.68,41.72
44.00,23.50,41.72
44.00,23.50,41.72
44.00,23.50,41.72
44.00,23.50,41.98
44.00,23.31,41.98
44.00,23.31,41.98
44.00,23.31,41.98
44.00,23.31,42.23
44.00,23.12,42.23
44.00,23.12,42.23
44.00,23.12,42.48
44.00,23.12,42.48
44.00,22.92,42.48
44.00,22.92,42.48
44.00,22.92,42.73
44.00,22.92,42.73
44.00,22.72,42.73
44.00,22.72,42.73
44.00,22.72,42.98
44.00,22.72,42.98
44.00,22.51,42.98
44.00,22.51,42.98
44.00,22.51,43.22
44.00,22.51,43.22
44.00,22.29,43.22
44.00,22.29,43.22
44.00,22.29,43.46
44.00,22.29,43.46
44.00,22.08,43.46
44.00,22.08,43.70
44.00,22.08,43.70
44.00,22.08,43.70
44.00,21.85,43.70
44.00,21.85,43.94
44.00,21.85,43.94
44.00,21.85,43.94
44.00,21.63,43.94
44.00,21.63,44.17
44.00,21.63,44.17
44.00,21.63,44.17
44.00,21.40,44.17
44.00,21.40,44.40
44.00,21.40,44.40
44.00,21.40,44.40
44.00,21.16,44.40
44.00,21.16,44.63
44.00,21.16,44.63
44.00,21.16,44.63
44.00,20.92,44.63
44.00,20.92,44.86
44.00,20.92,44.86
44.00,20.92,44.86
44.00,19.77,45.08
44.00,19.77,45.08
44.00,19.77,45.08
44.00,19.77,45.08
44.00,20.24,45.29
44.00,20.24,45.29
44.00,20.24,45.29
44.00,20.24,45.29
44.00,19.96,45.51
44.00,19.96,45.51
44.00,19.96,45.51
44.00,19.96,45.51
44.00,19.70,45.73
44.00,19.70,45.73
44.00,19.70,45.73
